kind,clan,clan_rank,clan_result_total,userId,player_rank,player_result,order_in_group
clan,GOGO,1,144439,,,,0
player,GOGO,1,144439,junmochongdiyi,1,47752,1
player,GOGO,1,144439,DomineerS,2,45172,1
player,GOGO,1,144439,DomineerX,3,41113,1
player,GOGO,1,144439,Xhao14,4,3116,1
player,GOGO,1,144439,DomineerJ,5,2762,1
player,GOGO,1,144439,DomineerQ,6,2655,1
player,GOGO,1,144439,DomineerK,7,1869,1
clan,SACHIN01,2,113838,,,,0
player,SACHIN01,2,113838,Japi,1,13122,1
player,SACHIN01,2,113838,Rahul,2,12939,1
player,SACHIN01,2,113838,Sachin,3,12858,1
player,SACHIN01,2,113838,Sai,4,12730,1
player,SACHIN01,2,113838,Teddy,5,12569,1
player,SACHIN01,2,113838,Gopinath,6,12494,1
player,SACHIN01,2,113838,Durga,7,12409,1
player,SACHIN01,2,113838,Isabella,8,11935,1
player,SACHIN01,2,113838,Roy,9,9721,1
player,SACHIN01,2,113838,Tukuna,10,3061,1
clan,MISTERYOSO,3,98428,,,,0
player,MISTERYOSO,3,98428,Kumare,1,15016,1
player,MISTERYOSO,3,98428,Palakntooth,2,14077,1
player,MISTERYOSO,3,98428,freekey,3,13593,1
player,MISTERYOSO,3,98428,Highnest,4,11520,1
player,MISTERYOSO,3,98428,Trump,5,11322,1
player,MISTERYOSO,3,98428,MasterUten,6,9410,1
player,MISTERYOSO,3,98428,Kulugong,7,8088,1
player,MISTERYOSO,3,98428,Buraot,8,7724,1
player,MISTERYOSO,3,98428,mascubado,9,4440,1
player,MISTERYOSO,3,98428,Kuramao,10,3238,1
clan,KIZUKICLAN,4,89624,,,,0
player,KIZUKICLAN,4,89624,Zamasu,1,10697,1
player,KIZUKICLAN,4,89624,ariente,2,10177,1
player,KIZUKICLAN,4,89624,VillaNaa,3,9513,1
player,KIZUKICLAN,4,89624,Jokoo,4,9124,1
player,KIZUKICLAN,4,89624,Pabloo,5,9113,1
player,KIZUKICLAN,4,89624,Kazuuha,6,8688,1
player,KIZUKICLAN,4,89624,valhalla,7,8506,1
player,KIZUKICLAN,4,89624,maviss,8,8168,1
player,KIZUKICLAN,4,89624,tazz,9,8045,1
player,KIZUKICLAN,4,89624,RichardTz,10,7593,1
clan,WETPAKSCLAN 1,5,80136,,,,0
player,WETPAKSCLAN 1,5,80136,Beluga,1,15840,1
player,WETPAKSCLAN 1,5,80136,JanPleyto,2,15699,1
player,WETPAKSCLAN 1,5,80136,Pororo,3,11387,1
player,WETPAKSCLAN 1,5,80136,Zhyxs,4,10563,1
player,WETPAKSCLAN 1,5,80136,Kenjixu,5,9359,1
player,WETPAKSCLAN 1,5,80136,Ayawkuna,6,4942,1
player,WETPAKSCLAN 1,5,80136,Meowth,7,4790,1
player,WETPAKSCLAN 1,5,80136,shanenegra,8,3995,1
player,WETPAKSCLAN 1,5,80136,Delusional,9,3561,1
clan,THE AVENGERS,6,78721,,,,0
player,THE AVENGERS,6,78721,Rohit,1,12500,1
player,THE AVENGERS,6,78721,Rasmi,2,12270,1
player,THE AVENGERS,6,78721,Susant,3,12239,1
player,THE AVENGERS,6,78721,Jackie,4,12061,1
player,THE AVENGERS,6,78721,Dusmant,5,11630,1
player,THE AVENGERS,6,78721,Gobinda,6,8180,1
player,THE AVENGERS,6,78721,Umakant,7,4039,1
player,THE AVENGERS,6,78721,Sophia,8,3630,1
player,THE AVENGERS,6,78721,Bikas,9,1691,1
player,THE AVENGERS,6,78721,Oliver,10,481,1
clan,WZX3338,7,74973,,,,0
player,WZX3338,7,74973,Whas,1,31706,1
player,WZX3338,7,74973,skt,2,11049,1
player,WZX3338,7,74973,Kgce,3,10484,1
player,WZX3338,7,74973,LSJDH,4,4071,1
player,WZX3338,7,74973,NITTSD,5,3637,1
player,WZX3338,7,74973,ktss4,6,3360,1
player,WZX3338,7,74973,PAHWN,7,3213,1
player,WZX3338,7,74973,NUSD,8,2612,1
player,WZX3338,7,74973,WZxian,9,2495,1
player,WZX3338,7,74973,HUSAS,10,2346,1
clan,WAG G,8,67538,,,,0
player,WAG G,8,67538,Cors,1,7653,1
player,WAG G,8,67538,Cosmozilla,2,7567,1
player,WAG G,8,67538,surobard,3,7380,1
player,WAG G,8,67538,Ggkovich,4,7262,1
player,WAG G,8,67538,Nasty,5,7087,1
player,WAG G,8,67538,Merlin,6,6960,1
player,WAG G,8,67538,serikuchik,7,6761,1
